ID,Language,Source_File,Text,Target,Gold_Valence,Predicted_Valence,Error_Valence,Gold_Arousal,Predicted_Arousal,Error_Arousal,Total_Error_Abs
12582:4_373,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Кухня в ЗимаЛето очень неплохая: хорошее и вкусное гриль-меню (особенно рыба), стандартный выбор салатиков, большой выбор суши и роллов (самые вкусные Гейша и запеченные Киото), достойная коктельная карта, только вот лонг, оставляет желать лучшего, а клубничную маргариту не советую никому, отвратная!",клубничную маргариту,1.17,7.1,5.93,8.84,6.35,-2.49,8.42
11817:1_322,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Пригляделась, оказалось открылся ресторанчик ""Палки"" японской и итальянской кухни, ну, думаю, зайду ...лучше бы и не заходила.","ресторанчик ""Палки""",1.5,7.15,5.65,8.5,6.56,-1.9400000000000004,7.590000000000001
lap26_aspect_va_test_873,English,checkpoint-2520_eng_laptop_test_task1.json,"it was a great laptop if I just wanted to stare at the desktop  ( it lagged even bringing up the control panel )  ,  so I took it back immediately and got this",laptop,3.0,7.41,4.41,4.25,7.29,3.04,7.45
34607:6_893,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Рис також чекали разом з чаєм більше 20 хв., але я то думаю,китайський ресторан,як на сході оформляють страви ми всі добре знаємо,завжди все прикрашено і виглядає дуже апетитно,так ось,нам рис принесли на тарілці в такому вигляді,що я навіть їсти не став його.",рис,1.0,5.75,4.75,8.75,6.14,-2.6100000000000003,7.36
34228:2_857,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Ресторандагы иң яхшы зал тәмәке тартучыларныкы итеп эшләнгән.,зал,3.25,8.26,5.01,5.75,7.95,2.2,7.21
15847:12_587,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Туда если только за дешевыми акциями ходить, но чего то карту покупать не хочется, все же ждешь положительных эмоций от посещения подобных заведений за любые деньги.",заведений,1.75,6.79,5.04,8.25,6.33,-1.92,6.96
rest26_aspect_va_test_9,English,checkpoint-2520_eng_restaurant_test_task1.json,"Peppermill , if you want to create a cool cocktail bar , ditch the machines , train your staff , or hire bartenders with better service skills , and buy some independent liquors",Peppermill,1.5,6.02,4.52,8.0,5.61,-2.3899999999999997,6.909999999999999
15847:1_584,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Егет белән кердек, безгә бер официант та карамады!",официант,1.25,5.95,4.7,8.75,6.57,-2.1799999999999997,6.88
lap26_aspect_va_test_570,English,checkpoint-2520_eng_laptop_test_task1.json,but even my now crappy ASUS works better than this brand new Chromebook,brand new Chromebook,1.5,7.45,5.95,8.38,7.48,-0.9000000000000004,6.8500000000000005
rest26_aspect_va_test_457,English,checkpoint-2520_eng_restaurant_test_task1.json,Your better off going to the fast food chicken joint across the street El Pollo Loco and guessing the kitchen is cleaner and the staff is friendlier and you won't be subjected to the daily drunks that drive to and from this place daily,this place,1.33,5.95,4.62,7.83,5.61,-2.2199999999999998,6.84
15336:23_535,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Кухня 7 балів.,Кухня,5.17,7.9,2.7300000000000004,3.0,7.1,4.1,6.83
rest26_aspect_va_test_703,English,checkpoint-2520_eng_restaurant_test_task1.json,I was there to enjoy a few drinks and dinner with a friend who was visiting ( AKA looking to spend money AKA you will get a larger tip if you let us stay longer ) and we were rushed out,drinks and dinner,1.75,6.63,4.88,7.88,5.96,-1.92,6.8
3452:2_117,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Кухня до італійської не дотягує-якщо тільки розміром порції.,Кухня,1.75,5.22,3.4699999999999998,7.75,4.43,-3.3200000000000003,6.79
33405:6_756,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Һәм соңгысы десерт, миндаль рулеты....мин моны сүздә ничек әйтергә белмим, ләкин менә язам да телемне ялыйм инде!!!!",десерт,9.0,2.4,-6.6,8.5,8.36,-0.14000000000000057,6.74
36948:2_1071,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Бәяләргә килгәндә (1 - 10 дан): - 7не аш-су өчен куям, чөнки төп ризыклар буенча менюда күбрәк төрлелек теләр идем.  5 интерьер өчен - бу урындыкларда бик үк уңайлы түгел, сумканы беркая да куеп булмый, тәрәзә янындагы урыннар оптималь (чагыштырмача уңайлы) - 10 сервис өчен - һәрвакыт игътибарлы һәм шул ук вакытта күзгә ташланмый торган персонал, бу ресторан хезмәте күрсәтүгә туры килергә тиеш.",сервис,9.0,4.35,-4.65,8.0,6.11,-1.8899999999999997,6.54
34956:11_920,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Я знаю, що відгуки часто переглядають адміністратори викладених ресторанів, дуже велике прохання до вас, будь ласка не прибирайте котлетки з меню!!!",котлетки,7.17,2.27,-4.9,6.17,7.78,1.6100000000000003,6.510000000000001
15336:16_532,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"В течение всего вечера так и играли с официантом в игру ""Поймай меня если сможешь"".",официантом,1.0,5.09,4.09,9.0,6.58,-2.42,6.51
lap26_aspect_va_test_947,English,checkpoint-2520_eng_laptop_test_task1.json,"Nothing from Acer has ever worked for me ,  but because of the cool-looking new laptop and 5-star reviews ,  I was duped into thinking they'd improved their shoddy ,  cheap trash",laptop,1.5,6.25,4.75,8.0,6.37,-1.63,6.38
15797:6_577,Russian,checkpoint-2520_rus_restaurant_test_task1.json,Зур булмаган минуслардан- кайнар ризыкны озак әзерләделәр (моны исәпкә алырга һәм шундку заказ бирергә кирәк) һәм Мохито күнекмәгән булып чыкты-карамель һәм артык татлы тәм белән,Мохито,4.83,2.98,-1.85,2.33,6.83,4.5,6.35
rest26_aspect_va_test_932,English,checkpoint-2520_eng_restaurant_test_task1.json,My wife also had the pleasure of adding spoiled creamer to her coffee,creamer,1.67,5.48,3.8100000000000005,8.17,5.66,-2.51,6.32
12913:15_408,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Рекомендовать это заведение никому не буду, т.к. и самим тесно!",заведение,8.0,2.2,-5.8,7.0,7.39,0.3899999999999997,6.1899999999999995
rest26_aspect_va_test_102,English,checkpoint-2520_eng_restaurant_test_task1.json,"Anyhow , I came during university city restaurant week and will never return",university city restaurant week,1.88,4.97,3.09,7.88,4.78,-3.0999999999999996,6.1899999999999995
15697:8_571,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Массмідія вчіть свій персонал, адже це запорука успіху .",персонал,2.0,7.55,5.55,8.0,7.43,-0.5700000000000003,6.12
rest26_aspect_va_test_518,English,checkpoint-2520_eng_restaurant_test_task1.json,We couldn't even eat the food and left it untouched,food,2.0,5.32,3.3200000000000003,7.88,5.09,-2.79,6.11
12582:4_373,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Кухня в ЗимаЛето очень неплохая: хорошее и вкусное гриль-меню (особенно рыба), стандартный выбор салатиков, большой выбор суши и роллов (самые вкусные Гейша и запеченные Киото), достойная коктельная карта, только вот лонг, оставляет желать лучшего, а клубничную маргариту не советую никому, отвратная!",салатиков,5.0,7.21,2.21,2.5,6.39,3.8899999999999997,6.1
lap26_aspect_va_test_105,English,checkpoint-2520_eng_laptop_test_task1.json,"The battery life on this is awful ,  but I knew that when I bought it",battery life,4.0,1.88,-2.12,4.17,8.14,3.9700000000000006,6.090000000000001
rest26_aspect_va_test_20,English,checkpoint-2520_eng_restaurant_test_task1.json,"Both of those dishes were great , but the duck stole the show",duck,8.25,4.95,-3.3,8.12,5.37,-2.749999999999999,6.049999999999999
10903:0_240,Russian,checkpoint-2520_rus_restaurant_test_task1.json,"Сегодня, компанией из трех человек были в данном заведении, кстати так и не определился кафе это или ресторан, с одной стороны идея с ""окном в кухню"" просто отличная и вроде как идея явно для ресторана, с другой стороны места довольно мало (""некурящий зал с видом на кухню"" и ""курящий"", а в ""курящем"" зале полностью отсутствует вытяжка, я даже себе представил, что будет, если там соберется несколько компаний и плотно так закурят, придется открывать окно из которого кстати, очень дует - к уюту сразу!",вытяжка,2.17,7.28,5.11,7.83,6.9,-0.9299999999999997,6.04
